,Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull,coordinates,index_right,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3
1586,0.0,0.0,0.0,Hayashikane Dockyard Co Ltd,JE3026,0-AllShips,,253.2,Japan,539.0,,3.85,0.0,0.0,TT1-150,Japan,299.0,253.2,0.0,SAKAI KO,35.781828,0.0,132.84187,431401161,33kaikomaru,15-NotDefined,130878,Kyowa Suisan KK,Kyowa Suisan KK,Unknown,"Sakaiminato, Tottori",Propeller : Controllable Pitch,,,,7.7,S,In Service/Commission,Fish Carrier,"""2023-02-02T07:22:56.000Z""",1675322576,30-Fishing,1990-05-14,0.0,SH,POINT (132.84187 35.781828),224.0,8487.0,Japanese Exclusive Economic Zone,2121.0,200NM,2121.0,Japan,JPN,Japan,0.0,0.0,,,,0.0,0.0,,,,138.44863,29.55656,8487.0,4066513.0,JPN,,,392.0,,,392.0,,
1587,40.0,4.0,8.0,Huanghai Shipbuilding Co Ltd,BOVF8,9-NoInfo,China Classification Society,30.3,China,591.0,Tong Ying,3.7,4.0,3060600.0,,"China, People's Republic Of",473.0,35.0,9260691.0,CHAOZHOU,28.421093,54.0,122.079947,413707480,Zhen Hua,0-Underway(Engine),,Fujian Lucky Sea Shipping Co,Fuzhou Anzhi Shipping Co Ltd,Unknown,"Fuzhou, Fujian",Propeller : Fixed Pitch,441248915.0,,,8.8,S,In Service/Commission,Fish Carrier,"""2023-03-03T08:01:46.000Z""",1677830506,7-Cargo,2001-10-20,12.0,SH,POINT (122.079947 28.421093),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
1588,0.0,0.0,0.0,Warso,YEB4615,0-AllShips,,248.1,Indonesia,,,0.0,0.0,0.0,,Indonesia,287.0,248.1,0.0,JAKARTA,-5.846862,0.0,106.009073,525004615,Hasil Melimpah Iii A,15-NotDefined,15.19.0001.02.44661,Berkah Melimpah Jaya,  Unknown,Unknown,Tanjung Priok,Propeller : Fixed Pitch,,,,6.2,S,In Service/Commission,Fish Carrier,"""2023-02-07T23:34:42.000Z""",1675812882,30-Fishing,2017-08-14,0.0,,POINT (106.009073 -5.846862),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
1589,93.0,7.0,16.0,Kyokuyo Shipyard Corp,3FMM7,9-NoInfo,Korean Register,56.5,South Korea,5281.0,Dutch Harbor,6.914,5.1,3111200.0,,Panama,4457.0,58.0,8911619.0,PUSAN,42.169303,121.0,144.124973,356636000,M/v No.1 Baron,0-Underway(Engine),4552114,Khana Marine Ltd,Boyang Ltd,Korea P&I Club,Panama,Propeller : Fixed Pitch,,,Other Cargo Ship,14.2,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:39:10.000Z""",1677868750,7-Cargo,1990-01-31,17.2,,POINT (144.124973 42.169303),224.0,8487.0,Japanese Exclusive Economic Zone,2121.0,200NM,2121.0,Japan,JPN,Japan,0.0,0.0,,,,0.0,0.0,,,,138.44863,29.55656,8487.0,4066513.0,JPN,,,392.0,,,392.0,,
1590,34.0,5.0,10.0,Pacific Fishermen,WD17023,0-AllShips,,192.2,,,Dillingham Ak,0.0,3.3,1011400.0,,United States Of America,215.0,192.2,7309792.0,DUTCH HARBOR,54.02117,34.0,-166.400968,367724590,Viking Queen,7-EngagedInFishing,508212,Rptd Sold Undisclosed Interest,  Unknown,Unknown,"Kodiak, AK",Propeller : Fixed Pitch,436777710.0,VKQN,,8.0,S,In Service/Commission,Fishing Vessel,"""2023-03-03T18:53:58.000Z""",1677869638,30-Fishing,0000-00-00,0.0,SH,POINT (-166.400968 54.02117),275.0,8463.0,United States Exclusive Economic Zone (Alaska),8684.0,200NM,2204.0,Alaska,,United States,0.0,0.0,,,,0.0,0.0,,,,-119.9766,59.0117,8463.0,3682912.0,USA,,,840.0,,,,,
1591,117.0,17.0,23.0,,A8JH8,0-AllShips,,270.2,,,Alang,,5.8,4301900.0,,,,264.0,9016662.0,AMSTERDAM,37.502325,150.0,5.936963,636016279,Baltic Pilgrim,0-Underway(Engine),,,,,,,,,,8.7,,,,"""2022-06-18T21:07:11.000Z""",1655586431,7-Cargo,,,,POINT (5.936963 37.502325),266.0,8378.0,Algerian Exclusive Economic Zone,2152.0,200NM,2152.0,Algeria,DZA,Algeria,0.0,0.0,,,,0.0,0.0,,,,3.53979,37.20344,8378.0,131193.0,DZA,,,12.0,,,12.0,,
1592,0.0,0.0,0.0,,8D,0-AllShips,,70.5,,,,,0.0,0.0,,,,165.3,0.0,JAKARTA,-6.096525,0.0,106.802127,525700853,Km Bintang Dunia,15-NotDefined,,,,,,,,,,0.0,,,,"""2022-12-20T22:19:46.000Z""",1671574786,30-Fishing,,,,POINT (106.802127 -6.096525),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
1593,60.0,10.0,18.0,,V3FS,0-AllShips,,168.5,,,,,0.0,0.0,,,,214.5,0.0,PUSAN,26.465517,99.0,119.976667,312162000,F.lonline,15-NotDefined,,,,,,,,,,0.1,,,,"""2023-03-03T18:38:39.000Z""",1677868719,7-Cargo,,,,POINT (119.976667 26.465517),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
1594,70.0,5.0,16.0,Shikoku Dockyard,BECS,4-HazCatD,CR Classification Society,126.2,Taiwan,3742.0,Kaosiung Taiwan,6.325,6.9,11120159.0,CT8-0028,Chinese Taipei,2955.0,91.8,7332713.0,KAO-HSIUNG,22.57246,92.0,120.314238,416778000,Win Shuen Shing,0-Underway(Engine),,Win Shu Fishery,Win Shu Fishery,Unknown,Kaohsiung,Propeller : Fixed Pitch,1350212.0,BECS,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T11:08:04.000Z""",1677841684,7-Cargo,1973-09-03,15.5,,POINT (120.314238 22.57246),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,50.0,6.0,11.0,Dalian Fishing Vessel Co,BKUG,0-AllShips,,7.7,China,1013.0,,4.1,0.0,0.0,,"China, People's Republic Of",1328.0,118.5,8863496.0,BISSAU,11.779622,74.0,-15.598437,412660240,Hai Feng 823,0-Underway(Engine),CN19922236491,Zhongyu Global Seafood Corp,China National Fisheries Corp,Unknown,"Yantai, Shandong",Propeller : Fixed Pitch,441200213.0,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-01T02:13:17.000Z""",1677636797,7-Cargo,0000-00-00,13.5,,POINT (-15.598437 11.779622),125.0,8471.0,Guinea Bissau Exclusive Economic Zone,8685.0,200NM,8685.0,Guinea-Bissau,GNB,Guinea-Bissau,0.0,0.0,,,,0.0,0.0,,,,-17.5672,10.58066,8471.0,106870.0,GNB,,,624.0,,,624.0,,
1596,10.0,1.0,2.0,,WBF4466,0-AllShips,,233.7,,,Egigik Alaska,,2.0,0.0,,,,253.0,655275000.0,EVERETT,47.981032,15.0,-122.174842,367452240,Linda B,5-Moored,,,,,,,,,,0.0,,,,"""2023-02-02T23:54:35.000Z""",1675382075,30-Fishing,,,,POINT (-122.174842 47.981032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,,,,,,,,287.1,,,,,,,,,,174.0,,,43.574488,,10.304355,636011904,,4-ConstrainedByDraft,,,,,,,,,,0.0,,,,"""2022-07-07T05:24:15.000Z""",1657171455,,,,,POINT (10.304355 43.574488),221.0,5682.0,Italian Exclusive Economic Zone,2133.0,200NM,2133.0,Italy,ITA,Italy,0.0,0.0,,,,0.0,0.0,,,,12.92786,39.65467,5682.0,536654.0,ITA,,,380.0,,,380.0,,
1598,0.0,0.0,13.0,,HSB2700,0-AllShips,,0.0,,,Chittagong,,3.5,8081600.0,,,,53.0,7727102.0,PHUKET,22.399588,82.0,91.74372,567175000,Celtic Ice,0-Underway(Engine),,,,,,,,,,0.0,,,,"""2021-08-13T09:34:07.000Z""",1628847247,7-Cargo,,,,POINT (91.74372 22.399588),188.0,8481.0,Bangladeshi Exclusive Economic Zone,2142.0,200NM,2142.0,Bangladesh,BGD,Bangladesh,0.0,0.0,,,,0.0,0.0,,,,90.56153,20.47561,8481.0,112166.0,BGD,,,50.0,,,50.0,,
1599,40.0,14.0,16.0,Chernomorskyi,UAPN,0-AllShips,Russian Maritime Register,182.7,Russia,1810.0,Okhotsk  Sea,5.9,6.8,12230900.0,,Russia,4407.0,193.0,9121120.0,BUKHTA NAGAYEVA (MAGADAN),49.70152,104.0,155.705792,273435250,B Preobrazheniya,7-EngagedInFishing,930146,Preobrazheniye Trawler Fleet,Preobrazheniye Trawler Fleet,Unknown,Nakhodka                              ,Propeller : Controllable Pitch,,,,3.7,S,In Service/Commission,Fish Factory Ship,"""2023-03-03T18:38:22.000Z""",1677868702,30-Fishing,1994-01-26,14.1,SH,POINT (155.705792 49.70152),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
